State,Annual,DJF,MAM,JJA,SON
India,1108.24,24.88,100.47,689.63,283.29
Madhya Pradesh,1055.44,23.2,29.94,772.84,223.63
Jharkhand,1195.18,38.27,88.44,769.24,295.51
Andaman and Nicobar,3109.6,106.46,487.76,1376.17,1032.44
Chhattisgarh,1339.28,24.77,68.6,947.62,293
Administrative unit not available,741.31,118.01,214.69,288.46,98.69
Chandigarh,1130.44,116.14,89.28,692.74,215.52
Administrative unit not available,585.08,106.06,200.77,187.73,69.32
Daman and Diu,983.69,0.91,1.69,781.62,199.14
Administrative unit not available,411.96,54.14,108.1,192.63,44.68
Dadra and Nagar Haveli,2342.45,0.25,7.84,1843.38,489.03
Administrative unit not available,198.24,20.39,42.73,108.35,21.3
Administrative unit not available,1261.97,148.56,168.46,703.28,220.47
Administrative unit not available,733.81,122.45,222.7,273.06,93.29
Bihar,1151.48,28.72,94.57,740.45,284.69
Administrative unit not available,739.63,99.39,175.23,347.03,100.3
Arunachal Pradesh,1840.87,63.55,441.88,964.04,363.05
Administrative unit not available,706.48,115.95,213.48,264.6,90.87
West Bengal,1732.98,31.76,227.33,1027.94,441.63
Maharashtra,1236.09,7.18,36.5,874.68,313.33
Lakshadweep,1617.5,78.5,226.53,736.75,476.99
Administrative unit not available,818.5,126.8,207.39,349.42,113.65
Administrative unit not available,1321.15,145.83,185.44,742.73,225.49
Kerala,2744.11,23.06,305.63,1647.06,731.37
Karnataka,1186.6,2.6,115.22,691.88,368.88
Himachal Pradesh,999.27,107.01,140.33,581.78,152.29
Haryana,590.84,37.43,37.06,394.96,115.47
Gujarat,790.62,1.17,4.39,603.13,181.04
Uttarakhand,1062.44,99.34,122.42,644.82,180.8
Goa,2619.98,0.1,68.72,2077.62,466.49
Uttar Pradesh,917.72,33.5,36.1,630.42,212.48
Nagaland,1822.85,49.12,373.16,982.06,409.73
Mizoram,2439.57,39.46,474.83,1342.87,571.76
Meghalaya,3688,41.01,805.41,2151.38,684.97
Puducherry,2008.68,32.15,114.67,984.52,731.49
Delhi,672.23,35.74,39.19,449.71,142.25
Manipur,1742.78,42.98,367.3,910.43,413.33
Assam,2243.57,48.78,553.17,1188.79,444.89
Andhra Pradesh,957.21,8.46,82.29,484.87,367.98
Tripura,2312.56,43.2,529.3,1202.8,532.17
Tamil Nadu,1062.87,27.77,139.34,288.62,526.19
Sikkim,1404.02,23.53,215.49,898.94,262.55
Rajasthan,468.17,9.21,17.89,351.96,86.52
Punjab,692.41,55.8,56.14,428.67,143.15
Orissa,1404.85,30.53,129.83,853.75,387.26
